Pos,Team,Matches,Points,Rating
1,England,25,6877,275
2,Australia,22,6047,275
3,India,35,9319,266
4,Pakistan,26,6824,262
5,South Africa,20,5047,252
6,New Zealand,25,6122,245
7,Sri Lanka,23,5293,230
8,Bangladesh,20,4583,229
9,Afghanistan,17,3882,228
10,West Indies,26,5885,226
11,Ireland,29,5513,190
12,Zimbabwe,21,3984,190
13,UAE,23,4288,186
14,Scotland,17,3096,182
15,Nepal,23,4148,180
16,PNG,21,3769,179
17,Netherlands,26,4618,178
18,Oman,18,3169,176
19,Namibia,19,2980,157
20,Singapore,20,2835,142
21,Canada,15,1956,130
22,Qatar,23,2982,130
23,Hong Kong,23,2727,119
24,Kenya,12,1389,116
25,Jersey,21,2423,115
26,Kuwait,16,1765,110
27,Italy,10,1100,110
28,Saudi Arabia,9,965,107
29,Denmark,10,975,98
30,Bermuda,13,1202,92
31,Uganda,11,985,90
32,Malaysia,29,2557,88
33,Germany,15,1304,87
34,USA,11,868,79
35,Ghana,10,773,77
36,Guernsey,13,935,72
37,Botswana,13,934,72
38,Austria,8,553,69
39,Nigeria,16,1064,67
40,Norway,8,499,62
41,Romania,10,602,60
42,Spain,13,766,59
43,Sweden,3,168,56
44,Tanzania,3,167,56
45,Cayman Islands,8,430,54
46,Argentina,12,610,51
47,Belgium,10,499,50
48,Philippines,5,241,48
49,Bahrain,9,424,47
50,Vanuatu,15,704,47
51,Belize,5,209,42
52,Hungary,4,162,41
53,Malawi,12,476,40
54,Fiji,3,105,35
55,Peru,9,294,33
56,Panama,5,162,32
57,Japan,4,126,32
58,Costa Rica,4,126,32
59,Samoa,7,216,31
60,Czech Republic,16,478,30
61,Mexico,11,320,29
62,Luxembourg,12,301,25
63,Portugal,7,173,25
64,Finland,9,204,23
65,Bulgaria,11,240,22
66,Thailand,14,297,21
67,Isle of Man,4,79,20
68,South Korea,4,78,20
69,Malta,10,166,17
70,Mozambique,12,173,14
71,Brazil,9,123,14
72,Bhutan,7,88,13
73,Sierra Leone,5,61,12
74,Maldives,14,138,10
75,Chile,9,85,9
76,St Helena,6,55,9
77,Indonesia,4,19,5
78,Myanmar,6,23,4
79,Gibraltar,7,0,0
80,Gambia,6,0,0
81,China,6,0,0
82,Turkey,5,0,0
83,Swaziland,3,0,0
84,Rwanda,3,0,0
85,Lesotho,3,0,0
