Pos,Team,Matches,Points,Rating
1,Australia Women,29,8438,291
2,England Women,30,8405,280
3,India Women,32,8640,270
4,New Zealand Women,23,6197,269
5,South Africa Women,24,5978,249
6,West Indies Women,26,6126,236
7,Pakistan Women,24,5516,230
8,Sri Lanka Women,18,3631,202
9,Bangladesh Women,26,5001,192
10,Ireland Women,13,2180,168
11,Thailand Women,26,4145,159
12,Zimbabwe Women,11,1711,156
13,Scotland Women,10,1491,149
14,Nepal Women,11,1457,132
15,PNG Women,11,1423,129
16,Samoa Women,6,749,125
17,UAE Women,11,1330,121
18,Uganda Women,13,1563,120
19,Tanzania Women,11,1191,108
20,Indonesia Women,13,1129,87
21,Netherlands Women,10,832,83
22,Kenya Women,8,654,82
23,Namibia Women,16,1099,69
24,Hong Kong Women,13,875,67
25,Germany Women,11,727,66
26,China Women,11,698,63
27,Brazil Women,11,599,54
28,Vanuatu Women,6,324,54
29,Japan Women,5,260,52
30,France Women,3,143,48
31,USA Women,4,186,47
32,Belize Women,6,269,45
33,Argentina Women,9,398,44
34,Rwanda Women,10,426,43
35,Myanmar Women,5,212,42
36,Kuwait Women,8,337,42
37,Sierra Leone Women,6,245,41
38,Malaysia Women,17,687,40
39,Jersey Women,4,160,40
40,Botswana Women,11,431,39
41,Nigeria Women,9,284,32
42,Oman Women,9,233,26
43,Bhutan Women,4,91,23
44,South Korea Women,4,73,18
45,Malawi Women,10,158,16
46,Chile Women,10,124,12
47,Singapore Women,6,61,10
48,Costa Rica,7,68,10
49,Mozambique Women,12,81,7
50,Mexico Women,7,33,5
51,Austria Women,8,9,1
52,Norway Women,3,0,0
53,Lesotho Women,3,0,0
54,Fiji Women,6,0,0
55,Mali Women,3,0,0
56,Peru Women,8,0,0
